Label,betweenesscentrality,degree,bridgingcentrality
BAKON_595,94.565907,22,5.355276
BAKON_580,69.237077,19,4.315085
BAKON_562,87.416149,21,4.98379
BAKON_555,108.985659,21,5.445381
BAKON_483,230.040819,29,6.769203
BAKON_474,308.740121,31,7.725932
BAKON_349,13.308134,17,1.013276
BAKON_346,25.998366,18,1.853772
BAKON_342,81.947272,19,5.235652
BAKON_322,178.291959,22,8.465543
BAKON_316,137.216129,22,7.245058
BAKON_299,80.97378,19,4.993127
BAKON_296,0,16,0
BAKON_159,390.018836,32,10.08568
BAKON_114,37.923023,18,2.703959
BAKON_086,22.814021,16,3.421879
BAKON_088,123.262004,24,6.160092
BAKON_093,1.340713,11,0.654936
BAKON_095,357.579684,31,10.397535
BAKON_548,233.974795,27,9.069737
BAKON_509,249.215395,34,8.851299
BAKON_463,60.75685,17,4.904153
BAKON_434,139.928762,19,8.897799
BAKON_419,11.929917,16,1.097176
BAKON_406,140.658693,23,7.616462
BAKON_295,33.579117,16,2.942206
BAKON_262,69.144689,20,4.902668
BAKON_218,60.574838,19,4.24963
BAKON_214,99.87383,22,5.577376
BAKON_206,64.677338,20,4.152273
BAKON_180,320.282253,33,9.802951
BAKON_167,42.285342,17,3.024871
BAKON_155,333.020548,32,9.528599
BAKON_109,0,3,0
BAKON_124,1.813296,13,0.633607
BAKON_129,19.760596,17,2.255904
BAKON_136,0,6,0
BAKON_149,129.07986,19,8.247501
BAKON_158,18.089636,16,3.229428
BAKON_597,43.421801,17,3.31305
BAKON_540,171.992792,24,8.239802
BAKON_481,253.795159,23,11.104872
BAKON_420,0,14,0
BAKON_418,31.829413,16,2.604551
BAKON_384,143.65608,21,8.045532
BAKON_370,76.936907,17,5.07946
BAKON_347,26.683265,16,2.183359
BAKON_340,54.205237,18,3.691438
BAKON_339,54.205237,18,3.691438
BAKON_222,30.226672,16,2.473472
BAKON_216,102.542805,18,6.878063
BAKON_186,216.868906,21,11.427772
BAKON_163,175.819238,23,8.299775
BAKON_164,15.243565,9,6.309203
BAKON_165,121.735144,14,9.748057
BAKON_615,59.896741,13,6.975624
BAKON_581,72.002096,14,6.457665
BAKON_578,98.563185,15,8.730454
BAKON_376,242.859715,23,11.305506
BAKON_367,88.442508,13,8.716728
BAKON_297,0,9,0
BAKON_259,132.723612,16,10.708728
BAKON_202,86.829199,15,6.879433
BAKON_175,77.052222,13,8.759944
BAKON_176,0.370683,12,0.238937
BAKON_195,9.6088,17,1.822468
BAKON_201,33.815283,13,6.806822
BAKON_238,30.422298,13,2.948863
BAKON_240,1.429422,9,0.528562
BAKON_241,0,6,0
BAKON_243,0,3,0
BAKON_268,1.519885,15,0.605042
BAKON_304,11.872855,11,5.534471
BAKON_321,11.959557,11,5.401175
BAKON_366,54.963994,12,10.387827
BAKON_380,0,8,0
BAKON_432,0,4,0
BAKON_457,1.768234,5,0.909637
BAKON_458,0,3,0
BAKON_467,19.077537,14,5.600231
BAKON_480,19.100578,13,3.62728
BAKON_484,5.683646,10,2.167898
BAKON_549,7.217316,9,5.656259
BAKON_573,78.913219,16,9.699547
BAKON_606,0,2,0
